,Active Calories,Resting Calories,Total
Jul 1,73,4068,4141
Jul 8,865,14238,15103
Jul 15,1615,14238,15853
Jul 22,1262,14238,15500
Jul 29,544,14238,14782
Aug 5,124,14238,14362
Aug 12,11,14238,14249
Aug 19,785,14238,15023
Aug 26,1398,14238,15636
Sep 2,1151,14238,15389
Sep 9,1238,14238,15476
Sep 16,833,14238,15071
Sep 23,1219,14238,15457
Sep 30,1362,14238,15600
Oct 7,1623,14238,15861
Oct 14,1203,14238,15441
Oct 21,1889,14238,16127
Oct 28,1915,14238,16153
Nov 4,1581,14293,15874
Nov 11,1462,13528,14990
